,sizex,sizey,total_size,goalx,goaly,startx,starty,loop,pattern,DFS-Effi,BFS-Effi,A*-Effi,Bi-Effi,dijkstra-Effi,GBest-Effi,Best-Effi
0,65,36,2340,63,5,18,9,88,h,1.9941465462290697,2.093914996291732,1.9848750171679714,2.0022762825885074,2.1269246928081618,1.9853116134346114,A*-Effi
1,26,56,1456,18,40,1,25,27,h,1.9937976791909375,2.0014571172484894,1.9862788051692224,1.9868729115995727,2.0432351243754168,1.9890590236879988,A*-Effi
2,43,70,3010,19,56,4,12,2,v,1.998741947782289,2.093388001499357,2.0124959546998666,1.9978056700922169,2.1954272595036453,2.0057735097859277,Bi-Effi
3,78,43,3354,18,23,36,25,95,h,1.996651557320018,1.9940040139023552,1.9587604846225535,1.9650326797385622,2.1192231040185723,1.96231078158789,A*-Effi
4,38,95,3610,17,28,26,8,69,h,1.9968407139316702,1.986038425185529,1.9671970965940815,1.971484877734878,2.1351440520299363,1.9581377151799688,GBest-Effi
5,10,60,600,7,51,6,43,4,h,1.9881292517006801,2.0009163817900015,1.987397342714591,1.983184789067142,1.992862470886608,1.9864129046231729,Bi-Effi
6,59,47,2773,25,19,5,22,7,v,1.988477787735245,2.0026445210531074,1.9912187571265,1.983030303030303,2.0889320254664527,1.9841557813255926,Bi-Effi
7,94,93,8742,76,83,44,64,88,v,1.9996110116359584,2.2204233724455573,1.9704599524187154,1.9954023845827824,2.54664683795885,1.9704599524187154,A*-Effi
8,31,39,1209,15,36,4,38,40,h,1.99606379865379,1.9660326086956523,1.9623805732484076,1.965109813733667,2.000134577412184,1.9565037282518642,GBest-Effi
9,76,69,5244,36,11,57,8,42,v,1.9957282913165266,1.9582425307557116,1.9391666666666665,1.9580782539260047,2.091113996888624,1.9611170024743725,A*-Effi
10,53,31,1643,49,20,2,31,72,h,1.9979874574668846,2.029918279938954,1.984589233010797,1.9986843135172516,2.0453883257046734,2.0022302810474253,A*-Effi
11,51,12,612,34,6,40,11,27,v,1.9526143790849673,1.9605316973415134,1.9559139784946238,1.96178955453149,1.960493827160494,1.9558823529411766,DFS-Effi
12,50,89,4450,37,54,13,24,94,v,1.9990683389878208,2.1311658125030895,1.9831952300952658,1.9828816621499548,2.3165412591897905,1.9760307998012916,GBest-Effi
13,12,62,744,6,57,6,39,25,v,1.9918180023687326,1.9871918357254656,1.9823962246822127,1.9801840351559181,1.9936312358650339,1.9778282500540774,GBest-Effi
14,42,46,1932,31,28,3,11,86,v,1.9973893338300117,2.0271123129813393,1.969278930107924,1.9777692057820366,2.074346248754725,1.9705651491365777,A*-Effi
15,68,30,2040,32,22,66,14,34,h,1.9978740780857853,2.017239897021348,1.9876747203250837,2.0029170401329712,2.078013767756484,1.9867836302508017,GBest-Effi
16,62,46,2852,40,44,30,39,94,h,1.998829038386594,1.9567621648166278,1.9410714285714286,1.9476639712488768,2.005374512113241,1.9554367201426026,A*-Effi
