,sizex,sizey,total_size,goalx,goaly,startx,starty,loop,pattern,DFS-Effi,BFS-Effi,A*-Effi,Bi-Effi,dijkstra-Effi,GBest-Effi,Best-Effi
102,59,37,2183,29,33,2,26,42,v,1.9979536152796724,1.9845741084011292,1.959233449477352,1.9694132334581773,2.089309207891597,1.9640175219023779,A*-Effi
103,69,83,5727,39,56,5,72,87,v,1.999299008758706,2.1445923591068894,1.994885205694789,1.9962729000533974,2.484643385386102,1.973022178086726,GBest-Effi
104,26,15,390,21,5,15,5,25,h,1.9842732609855898,1.965530303030303,1.9630744531406783,1.9635952283011107,1.9802989866748293,1.960660344221988,GBest-Effi
105,11,66,726,9,66,8,51,17,h,1.9922985069100536,1.930972388955582,1.8911764705882352,1.9131944444444444,1.9468653769874638,1.8911764705882352,A*-Effi
106,47,85,3995,17,49,39,84,49,h,1.9983983395989975,2.137997521086672,1.9994185853703361,1.9852841798264333,2.399947860859716,1.9818361453108375,GBest-Effi
107,98,60,5880,82,58,90,29,93,h,1.9994676297009528,2.0803240990549217,1.9662830633364676,1.973046638400969,2.46038232173807,1.9623417721518988,GBest-Effi
108,85,33,2805,33,19,8,4,64,v,1.997846434370735,2.0921837813518134,1.9952662469043652,1.9824125230202578,2.279753609404678,1.9779920148018308,GBest-Effi
109,29,93,2697,15,42,22,93,93,v,1.9977938072056272,2.094095661755959,2.0010603579675177,1.986962365591398,2.24372109580836,1.9847887608651709,GBest-Effi
110,63,91,5733,20,27,36,57,81,v,1.9983412764057924,2.4124937064353236,1.998719590348027,1.9834475977165333,2.615355952977797,1.9838125292192612,Bi-Effi
111,69,99,6831,35,10,48,9,46,v,1.995530477599069,1.942985278568306,1.9251461988304093,1.941304347826087,2.0839811260157974,1.912885662431942,GBest-Effi
112,55,36,1980,7,6,43,16,8,v,1.9953103913630228,1.991605526655328,1.9992004191817174,1.9818421052631578,2.127773689075881,1.9917367928938756,Bi-Effi
113,17,46,782,6,35,2,23,11,h,1.9935131698210204,2.001026425241949,1.9852270115885886,1.985632183908046,2.0295285560997085,1.9806317313784052,GBest-Effi
114,79,39,3081,16,22,58,6,46,h,1.9974639997916805,2.231593002846418,2.0202145712323025,2.0036287109218485,2.372499849747073,1.9890218156228008,GBest-Effi
115,56,88,4928,52,31,30,55,88,h,1.9980253802048895,2.3122766697025137,1.9895798656448056,1.978459952885748,2.559138894067794,1.97688060731539,GBest-Effi
116,86,86,7396,30,56,6,58,23,v,1.9992212400133171,2.285179376522753,2.0174841113729474,1.9880375386077453,2.671617387903037,2.001635062747038,Bi-Effi
117,73,68,4964,67,13,17,40,29,h,1.9984075287303515,2.492589435929246,2.0511504410170622,2.0093237248524103,2.6307404162390613,1.9944573643410852,GBest-Effi
118,32,81,2592,21,17,8,46,42,h,1.9964717894522468,2.1121221379799744,1.9941223231669944,1.9805398618957941,2.284652309460119,1.9855054302422723,Bi-Effi
119,21,15,315,21,13,9,13,71,v,1.9822392725206024,1.9177293294940354,1.8754578754578755,1.9134199134199135,1.9177005789909016,1.8754578754578755,A*-Effi
120,50,75,3750,5,61,47,10,32,v,1.9987936631425884,2.281917289603241,2.036287770169258,1.9933384318519718,2.4794867117157215,1.9926082243594179,GBest-Effi
121,70,92,6440,28,58,64,82,7,h,1.999101885478154,2.299853447197051,2.0396451433226357,2.011538321935542,2.690195671897346,2.046033721432619,DFS-Effi
122,84,65,5460,59,41,19,44,67,v,1.999211812312302,2.20178470511267,1.9916191927050126,1.9796722144581373,2.5523309825634444,1.9712732919254656,GBest-Effi
123,73,60,4380,51,37,39,13,50,v,1.9989376602637523,2.2502374489933183,1.9984129638720507,1.9991009207868489,2.5398483013237874,1.9839281628917869,GBest-Effi
124,39,28,1092,9,23,39,6,43,v,1.9955164093318332,2.0235603581021255,1.9939176172609892,1.9804650018452454,2.07550933457428,1.975839475839476,GBest-Effi
125,30,74,2220,29,63,26,14,47,v,1.9981454503375358,2.1670371888829614,2.015116366728322,1.9993286143365219,2.259857520705032,1.991668965772046,GBest-Effi
126,44,38,1672,16,24,8,10,15,h,1.9959517113394174,1.9990541332956822,1.9825746268656717,1.983206434974825,2.1126218299936004,1.9800995024875623,GBest-Effi
127,84,50,4200,27,34,72,44,80,h,1.999089258559151,2.15272653692817,1.998507918476631,1.9873126742503806,2.4068969392285737,1.984941549435308,GBest-Effi
128,45,20,900,29,18,45,20,61,v,1.993967621793216,1.9393684210526314,1.9103313840155944,1.9361111111111111,1.9541452280333504,1.9103313840155944,A*-Effi
129,50,78,3900,15,63,5,61,31,v,1.9988857426192097,2.02621425184143,1.985433526899698,1.9762596899224807,2.243305570497877,1.9915975110492792,Bi-Effi
130,12,59,708,9,35,10,53,12,h,1.9904401154401155,1.9968800478121942,1.98055970946379,1.980094726062468,2.025530213619819,1.9739699776429256,GBest-Effi
131,63,86,5418,61,74,6,1,36,h,1.9993789551520154,2.534408257270419,2.0642193641141433,2.009136494841538,2.6890483561787812,2.0103843580547567,DFS-Effi
132,56,86,4816,39,15,2,58,4,v,1.9974884481502007,2.464702485065755,2.0532635208996277,1.9977801262856747,2.589929198345743,2.0270004713226943,DFS-Effi
133,54,13,702,48,5,51,8,13,h,1.9229629629629628,1.949247311827957,1.9461111111111111,1.9337606837606838,1.9640243502331296,1.9531972789115646,DFS-Effi
134,39,59,2301,5,11,20,1,6,v,1.9928354430379747,1.9854135131415989,1.9847357293868921,1.9852377732702275,2.08153946531509,1.9867271365565449,A*-Effi
135,23,35,805,10,32,16,2,72,v,1.9958530783634179,2.0085090419533786,1.9947061722497719,1.980832241153342,2.023551267501487,1.9776119402985075,GBest-Effi
136,74,70,5180,23,44,41,30,46,v,1.9989879374651887,2.1939735608552082,1.9794226737622964,1.9954231033189227,2.5852619459675603,1.9847006441834028,A*-Effi
137,55,88,4840,45,7,9,45,97,v,1.9951468779887964,2.5284110612450785,2.0005126415840824,2.0015688181199183,2.597407506889203,1.9826797385620916,GBest-Effi
138,22,19,418,5,10,12,17,80,h,1.982647442399652,1.928828828828829,1.8976190476190475,1.9287280701754386,1.9452711633743844,1.8976190476190475,A*-Effi
139,23,34,782,5,34,11,26,6,h,1.9914933969236777,2.020535293975338,1.991299731299298,1.9912151067323483,2.0346858483372943,2.006146397400313,Bi-Effi
140,31,65,2015,29,32,27,29,54,h,1.9974834382634843,1.8144654088050314,1.7828652421166056,1.8186813186813187,1.8293820369433618,1.845525456523248,A*-Effi
141,53,92,4876,26,52,21,49,36,h,1.9990050055560653,1.9296657792384555,1.9166666666666665,1.928409090909091,2.047713500811064,1.931547619047619,A*-Effi
142,81,17,1377,44,16,6,1,99,h,1.9971711664174947,2.0263040213054313,1.9936725822681274,1.9819495258717241,2.0894250648287684,1.9808774834437086,GBest-Effi
143,66,67,4422,59,16,13,59,19,v,1.9979484249955655,2.383560335326618,2.025008154039374,2.010485220568098,2.518872072292139,1.9951215345813362,GBest-Effi
144,28,55,1540,26,40,27,41,89,v,1.9966194276856042,1.76,1.725146396277269,1.7222222222222223,1.7651869313711748,1.7857142857142856,Bi-Effi
145,98,90,8820,11,37,58,81,1,v,1.998607283636237,2.545288198615846,2.0687304742055277,2.0136040709017458,2.785429107730467,2.0392489127329307,DFS-Effi
146,95,10,950,6,7,76,8,74,h,1.991318464144551,2.0309325478443707,2.0040305261891667,1.9895892428811721,2.0598230036252256,1.9883426097711812,GBest-Effi
147,59,25,1475,20,23,41,1,17,h,1.9943372542382445,2.0240772480636116,1.9923522795917852,1.9866661478617083,2.1185103953010778,1.9814033808182863,GBest-Effi
148,46,12,552,40,10,20,5,82,h,1.993253020765502,1.9814880642779422,1.9631002824858759,1.9671262756095662,1.9958470372732864,1.9666344294003868,A*-Effi
149,45,65,2925,17,17,30,52,99,v,1.9970967933003467,2.179133056143434,1.9953028769783399,1.9823119927307449,2.2927558725168926,1.9789770658900618,GBest-Effi
150,40,93,3720,12,62,12,71,38,v,1.9986645521742195,2.0016723705753274,1.970768758631272,1.971814445096888,2.1952644500285023,1.9704710144927535,GBest-Effi
151,82,48,3936,51,42,58,48,21,h,1.9961515640739054,1.9670040059034366,1.978223573677071,1.9668202764976959,2.0738859513490957,1.9621059691482228,GBest-Effi
152,81,30,2430,80,20,67,22,42,h,1.9887177232679574,1.9892307497702089,1.9710536459380903,1.9662486938349009,2.1203112268536546,1.9628048780487806,GBest-Effi
153,66,60,3960,27,50,44,47,93,h,1.9987646172130837,2.0386900492748294,1.980202818067196,1.970640046820633,2.3071158598495893,1.9627892432770482,GBest-Effi
154,66,45,2970,48,13,50,19,66,v,1.9982771342920116,1.928849028400598,1.9254104063334658,1.929563492063492,1.985484542212173,1.8988505747126436,GBest-Effi
155,75,80,6000,73,16,35,13,11,h,1.9990953828572162,2.5980282774636416,2.0670429009850744,2.0118247132098483,2.7055175522250963,2.041129294616629,DFS-Effi
156,69,88,6072,44,66,47,64,26,h,1.9948722910216719,1.9544339910290631,1.9269005847953216,1.936951754385965,2.0473627651213735,1.9206349206349205,GBest-Effi
157,81,88,7128,19,68,24,15,17,h,1.9993561360165084,2.01104945572764,1.9865079867689213,1.9815412186379928,2.4364838212386326,1.9734467198889274,GBest-Effi
158,69,24,1656,52,15,16,18,5,h,1.9964879438733671,2.0774281638110192,2.00921727284139,2.0092006656298356,2.1715796420741658,2.004966791909717,DFS-Effi
159,45,68,3060,39,44,18,23,86,v,1.9985498418771737,2.1493554055506277,1.9665401044138586,1.9764039175420582,2.3293213955983605,1.9692825583841784,A*-Effi
160,74,41,3034,10,22,14,3,93,h,1.9935305690072638,1.979078126050445,1.9431520093931645,1.9580204688362763,2.1601945337113513,1.9365942028985508,GBest-Effi
161,93,19,1767,52,13,5,7,0,v,1.9971017395632278,2.105220239835419,2.012008621389032,1.996512084750122,2.1960219866400807,2.0041253281811144,Bi-Effi
162,80,39,3120,49,32,61,4,27,v,1.998753095347665,2.1969435386901806,2.0206274757369496,2.006560386304499,2.3780238302543286,1.9943514125948838,GBest-Effi
163,56,37,2072,47,37,56,26,72,h,1.9984638623620676,1.9486909154805834,1.926065162907268,1.9475524475524475,2.0187827427972342,1.926065162907268,A*-Effi
164,84,19,1596,8,11,74,10,77,h,1.9918304745210968,2.097812944823149,2.0161551435692804,1.995712024646862,2.1494014773004713,2.0021378359004647,DFS-Effi
165,81,76,6156,47,44,34,40,54,h,1.9973359973359974,2.0667696789754917,1.9835064599073653,1.971462398954846,2.4700502393343395,1.9610259826782146,GBest-Effi
166,91,11,1001,78,10,80,9,58,v,1.9857407407407406,1.8887640449438203,1.8714285714285714,1.878787878787879,1.9046788053891275,1.8811320754716983,A*-Effi
167,23,33,759,7,5,18,29,93,h,1.9825241398068814,1.985712941402158,1.962418300653595,1.9861084933874977,2.000065183395425,1.9603508771929825,GBest-Effi
168,45,80,3600,7,48,33,79,1,v,1.9981467705584652,2.105102504672334,2.012839431246917,1.9978551104900322,2.329574569499636,2.0014962003403367,Bi-Effi
169,62,21,1302,27,14,61,6,97,h,1.9969273567550592,2.0105573045697263,2.000307501482796,1.9804199103562161,2.0935771981264306,1.9786579313083186,GBest-Effi
170,25,91,2275,8,24,21,9,90,v,1.9946879405356914,1.999182049593704,1.9831395137156067,1.9705988455988455,2.123827274372074,1.9693877551020407,GBest-Effi
