,sizex,sizey,total_size,goalx,goaly,startx,starty,loop,pattern,DFS-Effi,BFS-Effi,A*-Effi,Bi-Effi,dijkstra-Effi,GBest-Effi,Best-Effi
0,75,37,2775,63,27,54,16,24,h,1.9983373654950207,1.9967619856052459,1.9784385965122935,1.973466241561664,2.0923697810780864,1.969761550185078,GBest-Effi
1,55,95,5225,30,44,2,94,60,h,1.998737585135418,2.1544006938632325,1.998270099383157,1.9944600043012974,2.380693740714239,1.9947508970115788,Bi-Effi
2,82,99,8118,60,81,48,83,7,h,1.998582682229956,2.0954958523595764,2.0053292031448597,1.9929863312953016,2.485211682084572,1.9941754585909688,Bi-Effi
3,20,76,1520,10,10,7,27,25,v,1.9892219599608532,2.010635583214364,1.9889309163786253,1.983683292060281,2.0459022152900705,1.9811421795877755,GBest-Effi
4,12,65,780,5,45,9,40,39,v,1.978102705211691,1.9317488542900225,1.9253822201844875,1.9240020824105053,1.937756508047685,1.957048347710993,Bi-Effi
5,70,88,6160,5,33,26,21,35,h,1.9964620688948256,2.231966610326755,2.0183862882232773,1.9902703407670912,2.4839174825336237,1.9860214301658443,GBest-Effi
6,57,58,3306,26,34,13,39,21,v,1.9956165769974263,2.053274680335421,1.991374488878963,1.985717411761343,2.191175075335728,1.9891241848089107,Bi-Effi
7,72,39,2808,26,6,12,16,16,h,1.9955011603959323,2.0682730329932735,2.0031702533467968,1.9940140422924277,2.174809365984884,1.9956686466947393,Bi-Effi
8,25,16,400,11,12,2,3,71,v,1.9905647006418432,1.9599671741168394,1.9558170261753203,1.954993202281666,1.963250120361076,1.9428441351992207,GBest-Effi
9,92,20,1840,41,13,52,8,67,h,1.9825063651664925,1.9669564494252234,1.9566861314364523,1.9585195536793774,2.0140756167624976,1.9587471969852672,A*-Effi
10,11,70,770,5,35,5,16,87,h,1.992967221684013,1.9567878789113653,1.9308054318826389,1.953951304988053,1.9665552943814344,1.9303227908163025,GBest-Effi
11,10,51,510,7,48,9,28,44,v,1.986663443026208,1.979604526918481,1.9747835777344034,1.9743813298047954,1.9833270071574316,1.9725591374976057,GBest-Effi
12,14,97,1358,11,73,9,17,85,h,1.9974367931480788,2.0224263483255056,1.9876795519943617,1.9862084713476578,2.0497792606889793,1.9780200989187064,GBest-Effi
13,94,94,8836,54,85,26,94,39,h,1.9994113979212944,2.3655391278286966,2.0029357378410197,1.9932403035523887,2.659386329817605,1.9911099128043943,GBest-Effi
14,59,75,4425,15,44,8,52,41,h,1.998562456688004,1.9660613626666708,1.9527354688835588,1.9555334403030211,2.075255471228799,1.9389791032283559,GBest-Effi
15,74,84,6216,9,7,18,72,55,v,1.9955334104119786,2.445446387370437,2.0129944901152137,2.0006667310143462,2.570724668489311,1.998047713871013,DFS-Effi
16,18,23,414,6,15,9,14,44,h,1.9891894303886648,1.879327529876634,1.8476166493365005,1.8773354274274752,1.8797964377720482,1.8334027083266282,GBest-Effi
17,69,66,4554,52,37,51,6,92,h,1.9991652665624753,2.013277483776336,1.9610896051405993,1.9726568105667668,2.2170207990783997,1.9567966054520904,GBest-Effi
18,12,92,1104,10,86,7,20,67,v,1.9970971282441443,2.0222031416798565,1.9929719744169585,1.9900168983845368,2.0303526042604156,1.9897973770576636,GBest-Effi
19,90,73,6570,52,61,29,67,50,v,1.999422255934525,2.0204082499380798,1.9802069381727516,1.9759317407171717,2.277362568829912,1.9622477285735975,GBest-Effi
20,64,94,6016,57,6,39,81,29,v,1.9973550981706423,2.4789555283304896,2.031169042711803,2.008950000760834,2.506411444330339,2.0017012920117825,DFS-Effi
21,15,63,945,12,28,12,55,99,h,1.9446778711484594,1.97022707660287,1.9455173528994982,1.9643643399648334,1.9829545188264137,1.9450186935170843,DFS-Effi
22,74,22,1628,67,9,9,19,80,v,1.9977470142395157,2.0500911548787117,1.9828531002846659,1.988895396893427,2.0732055181073026,1.9801790519945317,GBest-Effi
23,16,20,320,7,18,1,11,7,h,1.9871180002923023,1.973798110239946,1.971154462334964,1.9720258924199667,1.9760947235545852,1.9688906816040812,GBest-Effi
24,87,67,5829,33,56,8,47,28,v,1.9993123608600238,2.055404566138952,1.9948129821972391,1.9856680428360913,2.3191623540849022,1.9836969295390248,GBest-Effi
25,18,17,306,7,8,7,4,12,v,1.9882068660988341,1.972208021790499,1.9700672509839094,1.96854403336043,1.974609014140614,1.970379515128158,Bi-Effi
26,31,77,2387,6,23,8,77,48,h,1.9865917008807066,2.057973159745351,1.9904333014757367,1.9869546290867004,2.1280170170856154,1.9799137907324036,GBest-Effi
27,61,44,2684,40,18,44,13,59,v,1.9971038569349067,1.9239412720391185,1.8990885582459032,1.9199075501596414,1.9528511516650648,1.8916657429160244,GBest-Effi
28,100,90,9000,16,69,86,36,16,v,1.9992909249821853,2.5372990228470984,2.0340290988193606,2.0062486211736923,2.7200415669996643,2.0007369591374538,DFS-Effi
29,95,38,3610,48,5,94,19,64,v,1.99431613187952,2.0932074004602566,1.9870109218105574,1.9865560117314232,2.255693531539535,1.9831527431904479,GBest-Effi
30,80,78,6240,45,32,29,36,36,v,1.998909326325332,1.9703473430399454,1.9599676308895926,1.9597458887039725,2.135261032535204,1.9649109390717694,Bi-Effi
31,52,41,2132,34,28,3,28,42,v,1.9974913606209945,1.9863620027089173,1.9638088235044102,1.9712394887075173,2.049097376541438,1.9554159688616695,GBest-Effi
32,15,30,450,7,10,5,24,75,h,1.9891401130353907,1.9622735174274273,1.9556232457090015,1.9579678436287724,1.9646204100136264,1.9513002619797413,GBest-Effi
33,56,52,2912,45,10,3,35,39,v,1.9964359148110953,2.1717433605375804,1.9999396230677327,1.9913902097789467,2.196862181868341,1.9901797399379353,GBest-Effi
34,20,73,1460,11,12,14,58,8,v,1.9964614568732286,2.0758242425893805,2.010372919947849,1.998128466002979,2.081823778177589,1.9980400554267472,DFS-Effi
35,83,38,3154,13,15,77,30,28,v,1.9983846660839997,2.134924459333297,1.9990931179232847,1.9918620211883495,2.2199059115765376,1.9912212414786166,GBest-Effi
36,57,41,2337,41,6,11,15,45,v,1.9933773067788767,2.0094593542384955,1.9643257622229064,1.9745680806289863,2.0978053438358617,1.9663951335594665,A*-Effi
37,76,90,6840,34,87,13,15,39,v,1.999488094238117,2.551912686597384,2.053316062262596,2.0094784017751786,2.6087932943481276,1.9993262424841374,GBest-Effi
38,95,48,4560,69,33,86,13,89,v,1.9990675214476408,2.075111228956231,1.9871513064470063,1.9825539125579592,2.2972303107413543,1.9753993240003358,GBest-Effi
39,49,12,588,24,8,41,6,57,h,1.993817234414906,1.9645029042228712,1.9599355637297353,1.962162310872165,1.9720828351335977,1.9561562208643781,GBest-Effi
40,66,17,1122,19,5,2,3,9,h,1.9908257667775628,2.0064012603400334,1.9958221844255963,1.9923486538386896,2.036667365823865,1.9969648454765234,DFS-Effi
41,76,68,5168,41,48,1,48,67,h,1.9991942641629366,2.1574773520509036,1.9991921211300965,1.9909405555021686,2.3958496229848665,1.988418206168641,GBest-Effi
