,sizex,sizey,total_size,goalx,goaly,startx,starty,loop,pattern,DFS-Effi,BFS-Effi,A*-Effi,Bi-Effi,dijkstra-Effi,GBest-Effi,Best-Effi
0,26,13,338,14,5,19,4,43,h,1.9847181195856618,1.942767614949617,1.9366241469757288,1.9386046810478748,1.9453111173260402,1.9429510377691193,A*-Effi
1,45,25,1125,14,11,22,4,52,v,1.9942128138362563,1.9514926720803834,1.9405602133038162,1.9477987255427562,1.9730511752084936,1.9552221204653333,A*-Effi
2,25,16,400,18,7,2,7,98,h,1.9863782394517027,1.9561398370878402,1.94650807882465,1.9549576564878255,1.9590827190993074,1.9508999738383705,A*-Effi
3,32,14,448,29,8,4,11,50,v,1.990027498754733,1.975382002710338,1.9693593225740385,1.9696504224581397,1.9779793453699055,1.9640231669378991,GBest-Effi
4,81,95,7695,56,58,55,48,71,v,1.9992823503949795,1.9742465436834769,1.9568291572552359,1.956818535722901,2.218053520943145,1.9448474496634454,GBest-Effi
5,23,31,713,18,17,11,10,92,v,1.9924903569955972,1.9510262879364997,1.9363495523409275,1.9447967326816054,1.96017976641649,1.9292974853515719,GBest-Effi
6,47,44,2068,30,13,22,16,38,h,1.9897976692485617,1.9518433610287138,1.9388104668431798,1.9461380378052486,1.9924435856799168,1.9439332636271767,A*-Effi
7,16,78,1248,5,47,5,51,36,v,1.811965811965812,1.8697706405650762,1.8272635961287587,1.8629901419422636,1.8730080847992823,1.8120609319302052,DFS-Effi
8,66,78,5148,13,49,40,19,32,h,1.9992496108395892,2.2831415516784332,1.9985951595653773,1.9909927097001545,2.461291685445906,1.9909964880689244,Bi-Effi
9,24,85,2040,23,26,3,61,35,h,1.9979028049384433,2.0948691542443596,1.9978459340042705,1.9908878402249477,2.112566609238763,1.9918186778935398,Bi-Effi
10,28,14,392,6,11,12,12,29,h,1.9895172656800564,1.9394222220430075,1.9296371837459927,1.9281951073980927,1.9423919596572783,1.9160220052838022,GBest-Effi
11,45,79,3555,7,23,10,19,93,h,1.9974929269155877,1.8937418087151103,1.8500275661171628,1.8925286588579586,1.9210676097523889,1.847512405140006,GBest-Effi
