,sizex,sizey,total_size,goalx,goaly,startx,starty,loop,pattern,DFS-Effi,BFS-Effi,A*-Effi,Bi-Effi,dijkstra-Effi,GBest-Effi,Best-Effi
0,96,80,7680,14,74,91,43,43,h,1.9993239430054666,2.570396761305039,2.0403559981115804,2.0055898097796785,2.683522483784536,1.999866213631737,DFS-Effi
1,28,95,2660,17,39,3,82,27,h,1.9979006376740425,2.031958893135403,1.9919623139678726,1.9863882693826134,2.168805061691223,1.9907470376515473,Bi-Effi
2,91,73,6643,56,17,23,22,4,h,1.9980052231468208,2.4057754129088154,2.029661812483898,2.0069727982320114,2.5925237437529005,2.0118230189093627,DFS-Effi
3,33,36,1188,33,27,3,8,38,v,1.995898332268474,2.0149368014322495,1.9855353237348727,1.9837039151116698,2.038071203735244,1.9810903397815451,GBest-Effi
4,35,52,1820,33,23,30,21,53,v,1.9946783479853902,1.8056254073196225,1.7437057668048745,1.8071633607202546,1.8134306406121667,1.7424824131735104,GBest-Effi
5,40,64,2560,35,49,18,23,76,h,1.9987415698229496,2.1339152856841093,1.977232205990278,1.9804456993517034,2.1843345282713686,1.9770079879571645,GBest-Effi
6,77,53,4081,17,33,55,25,48,v,1.9986606199469479,2.15233887446838,1.9864551445742116,1.9835263096115598,2.362227808538581,1.9805357958184264,GBest-Effi
7,19,44,836,5,36,15,19,94,h,1.9955388790961763,1.994507386545258,1.9502978897374867,1.9647365550208937,2.0032084238504675,1.9527516991824325,A*-Effi
8,42,30,1260,30,28,21,5,100,h,1.9976073908384722,2.004755660064381,1.9606204110319942,1.969854677003132,2.048985419860519,1.9661225594031477,A*-Effi
9,33,100,3300,13,42,20,57,30,v,1.997605903930374,2.0282498145261108,1.9889118574433908,1.9817107952431994,2.138283749853787,1.981003922898962,GBest-Effi
10,69,88,6072,8,24,52,74,3,v,1.9991445322497556,2.3405168804030234,2.026074378807251,2.0066673896941882,2.5084592637924628,2.0101557677955784,DFS-Effi
11,76,83,6308,58,13,4,73,99,v,1.9984467377677761,2.5338628482129333,1.9928802841658162,1.999656293973836,2.5496751811165796,1.9879334368025114,GBest-Effi
12,37,95,3515,22,68,37,32,5,v,1.998333089219526,2.1389300822882005,2.0180984037565817,2.0031013704422116,2.276509975276828,2.0012097946139926,DFS-Effi
13,83,64,5312,17,39,70,61,61,h,1.998638193181954,2.345752666477809,2.0088390422009033,1.9983706987996404,2.48940747116478,1.9920087811179525,GBest-Effi
14,73,24,1752,47,21,38,11,13,h,1.9955533915229453,1.9773821255279316,1.9730967438090845,1.9705945770457634,2.0195107100902767,1.9713263427815761,Bi-Effi
15,44,79,3476,8,56,30,35,67,h,1.998623548894538,2.1863411688120635,1.9845266101796035,1.9826317812384446,2.2857176998235182,1.9831640053890416,Bi-Effi
16,14,20,280,11,20,2,1,26,h,1.9839994764774773,1.9703010234652432,1.9648017950269852,1.9654234307985095,1.971560940591437,1.9664013049773161,A*-Effi
17,12,100,1200,12,9,2,67,45,v,1.9893442881981436,2.028857637625082,1.995205883413871,1.9913398245633365,2.036143901630536,1.991025945787304,DFS-Effi
18,35,62,2170,15,58,5,15,8,v,1.9977794752564244,2.1221977642372787,2.0110317713167896,1.9974073922759112,2.1626093356801883,2.006315507399083,Bi-Effi
19,30,53,1590,14,31,11,10,34,v,1.995598812030341,2.010484272905959,1.9886472980166334,1.9851257097587482,2.053890753537061,1.9814725683157763,GBest-Effi
20,59,41,2419,32,14,37,17,60,v,1.822222937477448,1.879056601956922,1.8452021858383807,1.8473894014474062,1.8890450000419707,1.938596631840905,DFS-Effi
21,81,90,7290,9,52,14,89,65,v,1.9992206105891022,2.1899474370246637,1.99840068335121,1.9904505690873964,2.4900822599312855,1.9881447570067388,GBest-Effi
22,54,73,3942,30,21,5,7,53,h,1.996886297405783,2.060079661592888,1.9895875804008303,1.984891310268274,2.253471307696835,1.9840470442948495,GBest-Effi
23,20,66,1320,11,7,15,37,35,h,1.9952966335422602,2.0014723227744886,1.9688314333438217,1.9747752701177776,2.0316692426937006,1.9653951093466655,GBest-Effi
24,68,49,3332,24,41,45,13,80,h,1.9989666529361179,2.1569129242866865,1.9847193044692129,1.9832429727159995,2.263405541843503,1.97426612522699,GBest-Effi
25,96,62,5952,16,49,7,45,66,v,1.9993626335508417,1.9223786293485337,1.8912075050489194,1.9193296436574205,1.9709487286292031,1.8870256255145885,GBest-Effi
26,17,61,1037,12,34,10,25,24,h,1.9918319005547174,1.9277134533096834,1.9127698565426523,1.9199520857862526,1.93446755288337,1.903139535152793,GBest-Effi
27,44,54,2376,17,39,31,18,70,v,1.9982484250134593,2.0604488696574155,1.980617441760201,1.9808986144681104,2.144645137222598,1.9761583645981267,GBest-Effi
28,95,15,1425,73,7,72,7,74,v,1.9971674350377095,1.7115777990565122,1.6399132767510478,1.7333485918895688,1.7102615140164514,1.638930133601877,GBest-Effi
29,17,34,578,16,11,13,19,97,h,1.9922718969502693,1.9134877667003845,1.877280217831711,1.9106694209289705,1.9188388799517235,1.8767777573820097,GBest-Effi
30,55,50,2750,33,16,12,47,22,v,1.997368447045131,2.096432333860413,2.003413530019505,1.9939391187483642,2.169878343963707,1.999014686296607,Bi-Effi
31,62,25,1550,23,23,55,9,70,v,1.9976444104441953,2.0192153842811433,1.9771095697848309,1.9794086236454218,2.054337569676898,1.9758657541657556,GBest-Effi
32,55,56,3080,20,45,48,15,49,h,1.9988461446343004,2.1428738944236168,1.9976908326597247,1.9908413526695024,2.2243582117031346,1.9867690571632262,GBest-Effi
33,99,48,4752,56,16,35,18,9,v,1.9979020658755178,1.9588169084842604,1.9418961279977998,1.9510299131061672,2.025039393428888,1.932294992021387,GBest-Effi
34,32,11,352,16,10,5,10,26,v,1.9527782546147086,1.9221000164948532,1.909362066824202,1.9174117674625988,1.923738759693102,1.9144227296787375,A*-Effi
35,17,99,1683,8,94,15,58,49,h,1.9978770846061917,2.0397124518740455,1.9816035776886194,1.9804490821403058,2.067866589945422,1.9739449250389631,GBest-Effi
36,58,97,5626,43,38,5,91,19,v,1.998651783197496,2.270890738267211,2.0181243722159827,2.0023540150660257,2.4448685520371125,2.0028418239776866,DFS-Effi
37,76,31,2356,17,6,28,4,53,h,1.9915090312492179,2.000004429074937,1.9738427874707765,1.9719446885175196,2.0850314956768865,1.9709527590621683,GBest-Effi
38,69,49,3381,7,49,62,21,97,v,1.9990204213987508,2.2832419063195517,1.9916995346168673,1.9912177790925945,2.2890429398906784,1.9874335078771272,GBest-Effi
39,96,79,7584,84,9,85,29,13,v,1.9985263450852782,2.250876843672336,2.0079074409906434,1.9965804342007727,2.584755549464103,1.9963360010533702,GBest-Effi
40,91,29,2639,84,24,45,24,72,v,1.9987034685731984,2.054838863214388,1.9727369762421378,1.977792710125093,2.1597377362011043,1.9654173500713368,GBest-Effi
41,66,97,6402,33,55,26,3,62,v,1.9992757238083443,2.287128381844774,2.0142578746513413,1.9998897820180812,2.5274173316152764,1.992250999246021,GBest-Effi
42,54,80,4320,31,59,46,33,96,h,1.9989954334309266,2.0923287349686785,1.9678352882312011,1.977637320712828,2.299318397458041,1.9645636298595863,GBest-Effi
43,71,47,3337,17,14,65,6,60,h,1.9962535361926699,2.1567905193336823,2.003260125622905,1.9950201166640906,2.2609656094079815,1.9878877519053826,GBest-Effi
44,16,10,160,15,9,2,3,30,v,1.9757736688097869,1.9614315372236308,1.9609311104510418,1.9600731812212615,1.9620100975609447,1.9520277905603487,GBest-Effi
45,42,32,1344,40,13,11,11,14,v,1.992977601777659,2.023332907565601,1.9902718477825216,1.987116123162766,2.060479051464883,1.9939152631223453,Bi-Effi
46,47,76,3572,38,76,8,4,7,h,1.9972192415837258,2.2185956996837555,2.0137880476265604,2.000354475429365,2.3067598385005885,2.001862457142003,DFS-Effi
47,40,53,2120,24,42,23,44,63,v,1.997780956919043,1.9100688085664714,1.895034703080913,1.9049518452972753,1.9257878163086097,1.8810863542425884,GBest-Effi
48,94,82,7708,56,12,37,30,51,v,1.9975326562267801,2.262647861481958,1.9962068204140389,1.9855249399883506,2.5817262447442504,1.986799089133898,Bi-Effi
49,71,12,852,55,8,42,3,4,v,1.9913024345614307,2.008823197718006,1.9937622455730524,1.9904022930812835,2.023566736726152,1.991239099835835,Bi-Effi
50,29,49,1421,28,29,7,18,48,v,1.9962196422868654,1.9998359896280211,1.9737084399457963,1.9734828078643099,2.032791118846891,1.9644399831203092,GBest-Effi
51,96,78,7488,81,34,34,72,30,v,1.9992410977977406,2.356019380970463,2.0166920925460317,1.998760742180453,2.594077115079288,1.9952569232556927,GBest-Effi
52,58,44,2552,34,41,55,42,49,h,1.9977753430926732,1.9915452921072752,1.9750525623964057,1.9742396780673248,2.1104887776345294,1.9682477896909014,GBest-Effi
53,55,74,4070,46,47,39,61,75,h,1.9991470161660403,1.9840916821905203,1.9585864557026174,1.9643791412522744,2.122721022519131,1.9487789704782617,GBest-Effi
